system:index,blue,green,landcover,latitude,longitude,ndvi,ndwi,nir,red,swir1,swir2,.geo
2_10_0,13407,15572,2,31.10924219399371,29.7660811811782,0.08452314,-0.13409515,20395,17216,20025,18801,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_11_0,14354,17980,2,29.919154105592167,30.89714995541309,0.031137332,-0.101044945,22022,20692,22505,21599,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_12_0,11076,13609,2,30.011590748328068,31.439912050078107,0.06650231,-0.119529,17304,15146,18327,17626,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_13_0,13123,15198,2,30.96425410713682,31.176346345717437,0.038949847,-0.08674098,18085,16729,19637,18925,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_14_0,12864,14691,2,31.034861688468613,31.370382447087255,0.0581402,-0.114519924,18491,16459,20036,19060,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_15_0,11279,12620,2,31.111398150675598,30.94323352948842,0.102407664,-0.14219685,16804,13682,16923,15702,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_16_0,12296,13978,2,31.58274418025311,31.01249363789404,0.05429448,-0.102910504,17185,15415,19039,18609,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_17_0,11659,13682,2,30.604209341261715,32.26294851338841,0.042112958,-0.09017157,16394,15069,18173,17569,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_18_0,11235,13954,2,30.60205338457983,32.351073242760535,0.040114965,-0.09866615,17009,15697,21181,21229,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_19_0,14874,19685,2,30.602322879165065,32.2050071775627,0.030763388,-0.07915049,23069,21692,27147,25200,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20_0,12086,15006,2,30.29698551409284,31.738781545104672,0.06672465,-0.13335258,19624,17169,21738,20124,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_21_0,10766,12827,2,30.270844539324962,31.77462432494104,0.058881905,-0.11022475,16005,14225,17071,15756,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_22_0,11648,13299,2,31.037826128906207,30.47377396200756,0.051238146,-0.09100851,15962,14406,17876,16775,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_23_0,11158,12611,2,31.130801760812577,30.643825045291386,0.057451375,-0.09559667,15277,13617,16199,15738,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_24_0,11390,12950,2,31.203026309655787,30.550310424214544,0.05642507,-0.096837185,15727,14047,16880,16479,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_0,13419,17574,3,29.88897071204575,29.359413852057294,0.06484076,-0.149556,23755,20862,28402,26018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1_0,14471,19411,3,29.64076619904353,29.59117919536013,0.0750915,-0.16919191,27317,23501,32032,30332,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2_0,14891,19872,3,30.027760423442217,29.95418840167283,0.06166038,-0.14464651,26593,23504,29814,28327,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_3_0,13592,17831,3,29.6518154770382,30.11615464739958,0.056494594,-0.1532032,24283,21686,27408,24303,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_4_0,13114,16957,3,29.59764706540579,30.64436403446186,0.060525715,-0.15544377,23199,20551,27370,24128,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_5_0,12803,16862,3,29.93640175904726,30.520935514423837,0.080535546,-0.173249,23929,20362,29051,27122,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_6_0,13596,18107,3,29.980598871025943,32.759088044807626,0.07144332,-0.1779261,25945,22485,30373,27515,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_7_0,12946,15871,3,29.936671253632497,32.25540266500181,0.082344785,-0.15855049,21852,18527,26727,23746,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8_0,13881,17879,3,30.785040207954975,32.67689219631069,0.07380875,-0.16525434,24958,21527,29017,27623,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_0,14017,18498,3,30.456526308552466,32.6108660229279,0.067981035,-0.16044116,25568,22313,29600,28021,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_10_0,13002,16233,3,31.127028836619278,32.361583531584735,0.06981289,-0.14856678,21898,19040,25292,24193,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_11_0,14264,18494,3,30.821960966132288,32.99408732313329,0.069928765,-0.16415077,25758,22391,29498,27704,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_12_0,13860,18882,3,30.626577391836292,29.635645801924046,0.06674917,-0.17189659,26721,23377,30506,28177,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_13_0,12869,16775,3,30.405322337357653,29.670410603419473,0.097093835,-0.1754731,23915,19682,24127,21996,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_14_0,13185,16822,3,30.45167540601822,30.59396854702275,0.066660486,-0.15535247,23010,20134,25877,23579,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_15_0,12374,15748,3,30.344686055679585,30.770756994937475,0.069079526,-0.14707395,21179,18442,24535,22899,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_16_0,13438,16622,3,29.401724501939324,32.231687141501055,0.07163134,-0.15349358,22650,19622,26527,23257,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_17_0,15560,19738,3,30.89526349331644,29.652084971623434,0.064271234,-0.15130928,26776,23542,29301,25984,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_18_0,12514,15244,3,31.44611042553853,30.482667283320342,0.0523599,-0.11392699,19164,17257,21470,19926,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_19_0,10707,11855,3,31.456890208947964,30.58238027985761,0.026588172,-0.058940265,13340,12649,14147,13395,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_20_0,15910,19890,3,29.59037071160442,31.44152901758952,0.055446997,-0.13174437,25926,23202,27635,24465,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_21_0,14632,17761,3,29.296352119112104,30.994976489853705,0.06404775,-0.13420103,23267,20466,25825,23291,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_22_0,13487,17042,3,30.82115248237658,30.187031723316608,0.08162302,-0.1707056,24058,20427,26838,24386,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_23_0,12623,16143,3,30.684249233076763,30.473504467422323,0.09110352,-0.18492338,23468,19549,26468,24885,"{""type"":""MultiPoint"",""coordinates"":[]}"
